ANNIE Lat,ANNIE Long,LEAH Lat,LEAH Long,MELANY Lat,MELANY Long,MONIQUE Lat,MONIQUE Long,prOphecy Lat,prOphecy Long
49.27873,-123.099,49.27882,-123.09877,49.27859,-123.09896,49.27876,-123.09888,49.27879,-123.09872
49.27873,-123.09899,49.27883,-123.09877,49.2786,-123.09894,49.27876,-123.09886,49.2788,-123.09872
49.27873,-123.09898,49.27883,-123.09878,49.2786,-123.09893,49.27876,-123.09885,49.2788,-123.09874
49.27873,-123.09898,49.27883,-123.09879,49.27859,-123.09894,49.27876,-123.09885,49.2788,-123.09874
49.27873,-123.09897,49.27883,-123.09879,49.27859,-123.09895,49.27876,-123.09885,49.27879,-123.09875
49.27872,-123.09897,49.27883,-123.0988,49.27861,-123.09895,49.27876,-123.09885,49.2788,-123.09875
49.27872,-123.09896,49.27883,-123.0988,49.2786,-123.09893,49.27876,-123.09886,49.2788,-123.09876
49.27872,-123.09896,49.27882,-123.09881,49.27861,-123.09895,49.27876,-123.09887,49.2788,-123.09876
49.27872,-123.09896,49.27882,-123.09881,49.27861,-123.09898,49.27876,-123.09887,49.27878,-123.09878
49.27871,-123.09896,49.27881,-123.09882,49.27862,-123.09897,49.27876,-123.09887,49.27878,-123.09878
49.27871,-123.09896,49.2788,-123.09881,49.27862,-123.09896,49.27876,-123.09887,49.27879,-123.09879
49.2787,-123.09896,49.2788,-123.09881,49.27863,-123.09898,49.27876,-123.09888,49.27878,-123.09879
49.27869,-123.09896,49.27879,-123.09882,49.27862,-123.09898,49.27875,-123.09888,49.27878,-123.0988
49.27869,-123.09896,49.27878,-123.09883,49.27862,-123.09898,49.27876,-123.0989,49.27879,-123.0988
49.27869,-123.09896,49.27878,-123.09884,49.27861,-123.09898,49.27875,-123.0989,49.2788,-123.0988
49.27869,-123.09895,49.27878,-123.09884,49.2786,-123.09897,49.27875,-123.09889,49.2788,-123.09881
49.27869,-123.09895,49.27878,-123.09885,49.27861,-123.09899,49.27875,-123.09889,49.2788,-123.09881
49.27868,-123.09894,49.27878,-123.09886,49.27862,-123.099,49.27875,-123.09889,49.2788,-123.09883
49.27868,-123.09894,49.27878,-123.09887,49.27862,-123.099,49.27875,-123.09889,49.2788,-123.09885
49.27868,-123.09894,49.27878,-123.09889,49.27862,-123.099,49.27875,-123.09889,49.2788,-123.09884
49.27868,-123.09894,49.27877,-123.09891,49.27862,-123.09899,49.27875,-123.09889,49.27879,-123.09884
49.27868,-123.09895,49.27877,-123.09892,49.27863,-123.099,49.27875,-123.09889,49.2788,-123.09883
49.27868,-123.09896,49.27877,-123.09893,49.27866,-123.099,49.27876,-123.0989,49.2788,-123.09883
49.27868,-123.09896,49.27878,-123.09895,49.27868,-123.099,49.27877,-123.09893,49.27876,-123.09887
49.27868,-123.09897,49.27878,-123.09896,49.27869,-123.09899,49.27877,-123.09894,49.27876,-123.09887
49.27867,-123.09898,49.27877,-123.09898,49.27868,-123.09899,49.27877,-123.09894,49.27876,-123.09887
49.27868,-123.09899,49.27876,-123.099,49.2787,-123.09896,49.27877,-123.09896,49.27876,-123.09886
49.27876,-123.09901,49.27875,-123.09903,49.27871,-123.09897,49.27877,-123.09898,49.27877,-123.09886
49.27876,-123.09902,49.27874,-123.09905,49.27871,-123.09897,49.27876,-123.099,49.27876,-123.09886
49.27876,-123.09902,49.27873,-123.09907,49.27872,-123.09898,49.27876,-123.09902,49.27876,-123.09887
49.27876,-123.09903,49.27872,-123.09909,49.27872,-123.09899,49.27872,-123.09905,49.27877,-123.09889
49.27876,-123.09904,49.27872,-123.09911,49.27873,-123.09901,49.2787,-123.09907,49.27877,-123.0989
49.27876,-123.09905,49.27871,-123.09913,49.27873,-123.09902,49.27869,-123.09908,49.27876,-123.09892
49.27874,-123.09905,49.27871,-123.09914,49.27873,-123.09901,49.27869,-123.09908,49.27876,-123.09893
49.27873,-123.09905,49.27871,-123.09915,49.2787,-123.09901,49.27869,-123.0991,49.27877,-123.09895
49.27871,-123.09906,49.27871,-123.09916,49.2787,-123.09902,49.27869,-123.09912,49.27877,-123.09897
49.27869,-123.09908,49.27871,-123.09917,49.2787,-123.09902,49.27869,-123.09913,49.27878,-123.09897
49.27868,-123.0991,49.27871,-123.09918,49.2787,-123.09904,49.27869,-123.09914,49.27877,-123.09897
49.2787,-123.09909,49.27871,-123.09918,49.27871,-123.09905,49.27869,-123.09916,49.27877,-123.09899
49.2787,-123.0991,49.27872,-123.09919,49.27872,-123.09905,49.2787,-123.09918,49.27876,-123.09901
49.27871,-123.0991,49.27873,-123.09921,49.27873,-123.09908,49.27871,-123.09919,49.27873,-123.09903
49.27872,-123.09911,49.27874,-123.09922,49.27873,-123.09909,49.27873,-123.09921,49.27872,-123.09905
49.27876,-123.09911,49.27875,-123.09924,49.27874,-123.09912,49.27873,-123.09923,49.27871,-123.09907
49.27876,-123.09916,49.27875,-123.09925,49.27875,-123.09914,49.27874,-123.09924,49.2787,-123.09908
49.27876,-123.09916,49.27876,-123.09927,49.27876,-123.09916,49.27874,-123.09926,49.2787,-123.09908
49.27878,-123.09919,49.27876,-123.09929,49.27877,-123.09917,49.27875,-123.09928,49.27869,-123.09909
49.27877,-123.09921,49.27876,-123.09931,49.27878,-123.09919,49.27875,-123.09931,49.27869,-123.09909
49.27877,-123.09923,49.27876,-123.09933,49.27879,-123.09921,49.27876,-123.09933,49.27868,-123.09909
49.27876,-123.09925,49.27876,-123.09935,49.2788,-123.09923,49.27877,-123.09934,49.27868,-123.09909
49.27875,-123.09927,49.27876,-123.09937,49.27881,-123.09924,49.27877,-123.09936,49.27867,-123.0991
49.27875,-123.09927,49.27877,-123.09939,49.27882,-123.09927,49.27878,-123.09938,49.27866,-123.0991
49.27871,-123.09929,49.27877,-123.09941,49.27882,-123.09927,49.27878,-123.0994,49.27866,-123.09909
49.27871,-123.09932,49.27877,-123.09942,49.27882,-123.09928,49.27878,-123.09942,49.27866,-123.09909
49.27871,-123.09935,49.27878,-123.09943,49.27883,-123.0993,49.27878,-123.09944,49.27865,-123.09908
49.27871,-123.09939,49.27879,-123.09945,49.27883,-123.09931,49.27878,-123.09946,49.27865,-123.09908
49.27871,-123.09942,49.27881,-123.09946,49.27883,-123.09933,49.27879,-123.09948,49.27866,-123.09906
49.27873,-123.09942,49.27881,-123.09948,49.27884,-123.09934,49.27878,-123.0995,49.27866,-123.09905
49.27874,-123.09945,49.27881,-123.0995,49.27885,-123.09937,49.27877,-123.09953,49.27869,-123.09906
49.27874,-123.09947,49.2788,-123.09953,49.27885,-123.0994,49.27875,-123.09955,49.2787,-123.09906
49.27874,-123.09949,49.27878,-123.09956,49.27885,-123.09942,49.27874,-123.09957,49.2787,-123.09906
49.27875,-123.09951,49.27876,-123.09959,49.27885,-123.09944,49.27872,-123.0996,49.27868,-123.09904
49.27874,-123.09954,49.27874,-123.09962,49.27885,-123.09946,49.2787,-123.09964,49.27868,-123.09902
49.27875,-123.09956,49.27873,-123.09965,49.27885,-123.09949,49.2787,-123.09966,49.27868,-123.099
49.27873,-123.09959,49.27872,-123.09968,49.27885,-123.09949,49.2787,-123.09967,49.27867,-123.09899
49.27872,-123.09962,49.27871,-123.0997,49.27884,-123.0995,49.27869,-123.09969,49.27867,-123.09896
49.27869,-123.09963,49.2787,-123.09973,49.27884,-123.09952,49.27869,-123.09971,49.27867,-123.09895
49.27868,-123.09965,49.27869,-123.09975,49.27881,-123.09955,49.27869,-123.09973,49.27866,-123.09895
49.27866,-123.09967,49.27868,-123.09977,49.2788,-123.09958,49.27867,-123.09974,49.27865,-123.09894
49.27865,-123.0997,49.27867,-123.09979,49.27879,-123.0996,49.27868,-123.09977,49.27865,-123.09894
49.27864,-123.09972,49.27866,-123.09981,49.27877,-123.09963,49.27869,-123.09976,49.27864,-123.09895
49.27862,-123.09975,49.27865,-123.09984,49.27876,-123.09966,49.27868,-123.09978,49.27864,-123.09895
49.27862,-123.09977,49.27864,-123.09986,49.27874,-123.0997,49.27866,-123.09977,49.27863,-123.09895
49.2786,-123.09979,49.27864,-123.09987,49.27873,-123.09974,49.27865,-123.09977,49.27864,-123.09896
49.27859,-123.09982,49.27864,-123.09989,49.27872,-123.09976,49.27864,-123.09978,49.27865,-123.09896
49.27859,-123.09983,49.27864,-123.0999,49.27872,-123.09979,49.27863,-123.09978,49.27865,-123.09896
49.27858,-123.09985,49.27864,-123.09992,49.27872,-123.09983,49.27861,-123.0998,49.27865,-123.09893
49.27857,-123.09986,49.27864,-123.09994,49.2787,-123.09985,49.27859,-123.09982,49.27864,-123.09892
49.27857,-123.09988,49.27865,-123.09995,49.2787,-123.09987,49.27857,-123.09983,49.27864,-123.09891
49.27857,-123.09989,49.27866,-123.09995,49.2787,-123.0999,49.27854,-123.09985,49.27863,-123.0989
49.27857,-123.09991,49.27866,-123.09996,49.27869,-123.09991,49.27852,-123.09987,49.27863,-123.09888
49.27857,-123.09993,49.27867,-123.09996,49.27868,-123.09992,49.2785,-123.09987,49.27863,-123.09884
49.27858,-123.09995,49.27867,-123.09997,49.27867,-123.09994,49.27849,-123.09987,49.27864,-123.09883
49.27859,-123.09996,49.27868,-123.09997,49.27867,-123.09995,49.27848,-123.09988,49.27864,-123.09881
49.2786,-123.09998,49.27868,-123.09998,49.27867,-123.09995,49.27847,-123.09989,49.27864,-123.09879
49.27861,-123.09997,49.27868,-123.09999,49.27867,-123.09994,49.27846,-123.09991,49.27864,-123.09877
49.27862,-123.09998,49.27868,-123.1,49.27865,-123.09992,49.27845,-123.09992,49.27862,-123.09875
49.27862,-123.09998,49.27868,-123.10001,49.27865,-123.09992,49.27844,-123.09992,49.27862,-123.09874
49.27864,-123.09998,49.27868,-123.10002,49.27866,-123.09992,49.27843,-123.09993,49.27861,-123.09873
49.27864,-123.09998,49.27869,-123.10004,49.27866,-123.09992,49.27841,-123.09993,49.27862,-123.09871
49.27865,-123.09999,49.2787,-123.10006,49.27865,-123.09991,49.2784,-123.09996,49.27862,-123.09868
49.27867,-123.09998,49.2787,-123.10008,49.27865,-123.0999,49.27838,-123.09997,49.27862,-123.09866
49.27868,-123.09997,49.27871,-123.1001,49.27865,-123.09991,49.27836,-123.09999,49.27863,-123.09864
49.2787,-123.09998,49.27871,-123.10012,49.27865,-123.0999,49.27834,-123.1,49.27862,-123.09862
49.27871,-123.09998,49.27871,-123.10014,49.27865,-123.0999,49.27832,-123.10001,49.27862,-123.09861
49.27871,-123.09997,49.27871,-123.10016,49.27865,-123.0999,49.27829,-123.10001,49.27862,-123.09858
